LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,default.payment
20000,2,2,-1,-1,-2,-2,0.0,689.0,0.0,1
120000,-1,2,0,0,0,2,0.0,1000.0,1000.0,1
90000,0,0,0,0,0,0,1518.0,1500.0,1000.0,0
50000,0,0,0,0,0,0,2000.0,2019.0,1200.0,0
50000,-1,0,-1,0,0,0,2000.0,36681.0,10000.0,0
50000,0,0,0,0,0,0,2500.0,1815.0,657.0,0
500000,0,0,0,0,0,0,55000.0,40000.0,38000.0,0
100000,0,-1,-1,0,0,-1,380.0,601.0,0.0,0
140000,0,0,2,0,0,0,3329.0,0.0,432.0,0
20000,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0
200000,0,0,2,0,0,-1,2306.0,12.0,50.0,0
260000,-1,-1,-1,-1,-1,2,21818.0,9966.0,8583.0,0
630000,-1,0,-1,-1,-1,-1,1000.0,6500.0,6500.0,0
70000,1,2,2,0,0,2,3200.0,0.0,3000.0,1
250000,0,0,0,0,0,0,3000.0,3000.0,3000.0,0
50000,1,2,0,0,0,0,0.0,1500.0,1100.0,0
20000,0,0,2,2,2,2,3200.0,0.0,1500.0,1
320000,0,0,0,-1,-1,-1,10358.0,10000.0,75940.0,0
360000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
180000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
130000,0,0,0,0,0,-1,3000.0,1537.0,1000.0,0
120000,-1,-1,-1,-1,-1,-1,316.0,316.0,0.0,1
70000,2,0,0,2,2,2,2007.0,3582.0,0.0,1
450000,-2,-2,-2,-2,-2,-2,19428.0,1473.0,560.0,1
90000,0,0,0,-1,0,0,5757.0,0.0,5398.0,0
50000,0,0,0,0,0,0,1973.0,1426.0,1001.0,0
60000,1,-2,-1,-1,-1,-1,0.0,1000.0,0.0,1
50000,0,0,0,0,0,0,1300.0,1300.0,1000.0,0
50000,-1,-1,-1,-1,-1,-1,3415.0,3421.0,2044.0,0
50000,0,0,0,0,0,0,1500.0,1500.0,1000.0,0
230000,-1,-1,-1,-1,-1,-1,17270.0,13281.0,15339.0,0
50000,2,0,0,0,0,0,1718.0,1500.0,1000.0,1
100000,0,0,0,0,0,0,3023.0,3511.0,3302.0,0
500000,-2,-2,-2,-2,-2,-2,4152.0,22827.0,7521.0,0
500000,-2,-2,-2,-2,-2,-2,5006.0,31178.0,3180.0,0
160000,-1,-1,-2,-2,-2,-1,131.0,396.0,396.0,0
280000,0,0,0,0,0,0,8026.0,8060.0,6300.0,0
60000,0,0,0,0,0,-1,1500.0,1518.0,2043.0,0
50000,1,-1,-1,-2,-2,-2,780.0,0.0,0.0,1
280000,-1,-1,2,-1,0,-1,9075.0,0.0,9976.0,0
360000,0,0,0,0,0,0,10000.0,7000.0,6000.0,0
70000,0,0,0,0,0,0,3000.0,4500.0,4042.0,0
10000,0,0,0,0,0,0,1500.0,2927.0,1000.0,0
140000,0,0,0,0,0,0,3000.0,3000.0,3000.0,0
40000,0,0,0,2,0,0,3000.0,5000.0,0.0,0
210000,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
20000,0,0,2,-1,0,0,3000.0,0.0,16741.0,1
150000,0,0,-1,0,0,-2,1013.0,1170.0,0.0,1
380000,-1,-1,-1,-1,-1,-1,21540.0,15138.0,24677.0,0
20000,0,0,0,0,0,0,1318.0,1315.0,704.0,0
70000,1,2,2,2,2,0,0.0,3100.0,2000.0,1
100000,0,0,0,0,0,0,2000.0,1606.0,1500.0,0
310000,-2,-2,-2,-2,-2,-2,7875.0,7600.0,11185.0,0
180000,1,2,0,0,0,0,1300.0,2010.0,1762.0,0
150000,2,0,0,0,0,0,1600.0,1718.0,1049.0,0
500000,-2,-2,-2,-2,-2,-2,3640.0,162.0,0.0,0
180000,0,0,0,-1,-1,-1,8500.0,1500.0,7500.0,0
180000,0,0,0,0,0,0,8083.0,7296.0,5253.0,0
200000,-1,3,2,2,2,2,0.0,0.0,700.0,0
400000,0,0,0,0,0,0,17000.0,15029.0,30000.0,0
500000,0,0,0,0,0,0,1516.0,1300.0,1000.0,1
70000,0,0,0,0,0,-1,4025.0,2095.0,1000.0,0
50000,2,2,2,2,2,2,0.0,2700.0,0.0,1
50000,0,0,0,-2,-2,-2,1000.0,0.0,0.0,1
130000,-1,-1,-2,-2,-1,-1,0.0,0.0,0.0,0
200000,-2,-2,-2,-1,2,2,0.0,0.0,8222.0,1
10000,2,2,2,0,0,0,2300.0,0.0,150.0,1
210000,2,-1,-1,-1,-1,-1,300.0,1159.0,2280.0,0
130000,1,-2,-2,-1,2,-1,0.0,0.0,20161.0,0
20000,2,0,0,0,0,0,0.0,1200.0,1000.0,0
80000,-1,-1,-1,-1,-1,-1,0.0,390.0,390.0,0
320000,2,2,2,2,2,2,2500.0,2500.0,0.0,1
200000,-1,-1,-1,-1,2,-1,5818.0,15.0,9102.0,0
290000,1,-2,-1,-1,-1,-1,0.0,3155.0,0.0,0
340000,-1,-1,-1,-1,-1,-1,5713.0,23453.0,4314.0,0
20000,0,0,2,0,0,0,2850.0,0.0,610.0,0
50000,-1,0,0,0,0,0,1759.0,1779.0,320.0,0
300000,-1,-1,-1,-1,-1,-1,291.0,291.0,291.0,0
30000,0,0,0,0,0,0,1686.0,1400.0,560.0,1
240000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
470000,0,0,0,0,0,0,6400.0,7566.0,3000.0,0
360000,0,0,0,0,0,-1,4796.0,3400.0,3100.0,0
60000,0,0,0,0,0,0,1576.0,1213.0,648.0,1
400000,0,0,2,0,0,0,10700.0,3.0,3050.0,0
50000,0,0,0,0,0,0,1676.0,1302.0,700.0,0
160000,0,0,0,0,0,0,4400.0,3547.0,80000.0,0
360000,-1,-1,2,0,-1,-1,1170.0,0.0,0.0,1
160000,0,0,0,0,0,-1,1147.0,2000.0,2000.0,0
130000,0,0,0,-1,-1,-1,40000.0,5000.0,1330.0,0
20000,2,2,0,0,0,2,0.0,1651.0,1000.0,0
200000,2,2,2,2,2,2,6300.0,5500.0,5500.0,1
280000,-1,-1,-1,0,0,-2,0.0,3968.0,0.0,0
100000,-2,-2,-2,-2,-2,-2,7555.0,0.0,0.0,0
160000,-1,-1,-1,-1,-1,-2,1602.0,840.0,840.0,0
60000,0,0,0,0,0,0,1937.0,1301.0,682.0,0
90000,0,0,0,0,0,0,3621.0,3597.0,1179.0,0
360000,-1,-1,-1,-1,-1,0,8339.0,3394.0,12902.0,0
150000,0,0,0,0,0,0,4031.0,10006.0,3266.0,0
50000,0,0,0,0,0,0,1411.0,1194.0,379.0,0
20000,0,0,0,0,0,-1,1699.0,1460.0,626.0,1
140000,-2,-2,-2,-2,-2,-2,10212.0,850.0,415.0,0
380000,-2,-2,-1,0,0,0,223.0,33178.0,1171.0,0
480000,0,0,0,2,2,0,16078.0,55693.0,17000.0,0
50000,0,0,0,0,0,0,1767.0,1362.0,1002.0,1
60000,2,2,2,2,2,0,0.0,5000.0,2511.0,0
70000,-1,-1,-2,-2,-2,-1,0.0,0.0,0.0,0
80000,-1,-1,-1,-1,-1,-1,2861.0,3279.0,3319.0,0
350000,-1,-1,-1,-1,-1,-1,2272.0,722.0,867.0,0
130000,0,0,0,-1,-1,-1,10908.0,0.0,133657.0,0
360000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
330000,0,0,2,0,0,0,9260.0,0.0,3593.0,0
50000,0,0,2,0,0,0,2000.0,1000.0,1000.0,0
280000,2,2,2,2,2,3,6500.0,0.0,14254.0,0
100000,0,0,0,0,0,0,2000.0,2677.0,3076.0,0
50000,0,0,0,0,0,0,1340.0,1305.0,700.0,0
30000,-1,2,0,0,3,2,0.0,1312.0,3000.0,1
240000,-1,-1,-1,-1,-1,-1,326.0,326.0,5676.0,0
80000,2,0,0,0,0,0,2000.0,1700.0,1000.0,1
400000,-1,-1,-1,-1,-1,-1,9677.0,11867.0,7839.0,0
240000,0,0,0,0,-1,-1,2000.0,3000.0,3000.0,0
50000,2,2,2,3,2,2,1000.0,4035.0,1000.0,1
450000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
110000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
310000,2,0,0,0,0,0,13019.0,11128.0,8407.0,1
20000,0,0,0,0,0,0,1404.0,1130.0,600.0,0
20000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
200000,0,0,0,0,0,0,3568.0,3585.0,3602.0,0
180000,0,0,0,0,0,0,4655.0,2690.0,2067.0,1
50000,0,0,0,0,0,0,1000.0,1066.0,1300.0,1
60000,3,2,2,0,0,0,2504.0,7.0,1200.0,0
30000,1,-2,-2,-2,-1,-1,5645.0,3508.0,27.0,0
240000,1,-1,-1,0,0,-1,2622.0,3301.0,0.0,0
420000,0,0,0,0,0,0,9744.0,9553.0,7603.0,0
330000,0,0,0,0,0,0,8210.0,8095.0,8025.0,0
30000,0,0,0,0,0,0,2000.0,1400.0,0.0,0
240000,0,0,0,2,2,2,1500.0,1800.0,0.0,0
150000,0,0,0,0,0,0,2500.0,3000.0,3000.0,0
210000,0,0,0,0,0,0,1500.0,1500.0,1000.0,0
50000,-1,-1,-1,-1,-2,-2,300.0,5880.0,0.0,1
50000,0,0,0,0,0,0,2360.0,1700.0,1000.0,0
240000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
180000,-1,-1,-1,-1,-1,-1,0.0,416.0,332.0,0
50000,1,2,2,2,0,0,1000.0,10000.0,400.0,0
170000,-2,-2,-2,-2,-2,-2,10000.0,10000.0,10000.0,0
20000,-1,-1,-1,-1,0,-1,15586.0,344.0,2340.0,0
50000,0,0,0,0,0,3,1000.0,1500.0,2000.0,0
170000,0,0,0,0,0,0,1661.0,1200.0,351.0,1
200000,1,2,0,0,0,0,8000.0,5000.0,55500.0,0
80000,1,2,3,2,0,0,1650.0,0.0,0.0,0
260000,1,-2,-1,-1,-1,-1,0.0,22500.0,0.0,0
140000,0,0,0,0,2,0,3455.0,3110.0,5000.0,0
80000,0,0,0,0,0,0,30000.0,3000.0,6000.0,0
350000,1,-1,-1,-1,-1,-2,2906.0,1000.0,630.0,0
280000,0,0,0,0,0,0,8042.0,6700.0,5137.0,0
30000,0,0,0,0,0,0,1700.0,1500.0,1000.0,0
140000,0,0,0,0,0,0,5000.0,5000.0,11885.0,0
200000,0,0,0,0,0,0,4000.0,3250.0,3250.0,0
200000,0,0,0,0,0,0,7300.0,7108.0,7680.0,0
210000,2,3,4,4,5,6,10478.0,10478.0,11078.0,1
50000,3,2,0,0,0,0,0.0,1600.0,500.0,0
30000,2,2,2,2,2,0,3500.0,0.0,2200.0,0
50000,2,-1,-1,-1,-1,2,390.0,780.0,216.0,0
290000,-1,-1,-1,-1,0,-1,396.0,396.0,792.0,0
250000,0,0,2,0,0,0,17994.0,0.0,5469.0,0
60000,0,0,0,0,0,0,3000.0,1500.0,1500.0,0
110000,0,0,0,0,0,0,5500.0,3900.0,3000.0,0
370000,-2,-2,-2,-2,-2,-2,15383.0,8204.0,15413.0,0
100000,-1,2,2,0,0,0,3166.0,0.0,1330.0,0
90000,0,0,0,0,0,2,3500.0,3500.0,3652.0,0
50000,0,0,0,0,0,0,1510.0,1442.0,982.0,0
270000,0,0,0,0,0,0,5000.0,2000.0,3000.0,0
300000,-1,-1,-1,-1,-1,-1,3288.0,0.0,4340.0,0
50000,-1,0,0,0,0,0,15000.0,1000.0,149.0,0
50000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
360000,1,-2,-1,-1,-2,-2,0.0,77.0,0.0,0
130000,1,2,2,2,2,3,3000.0,3000.0,3000.0,1
80000,-2,-1,0,0,0,0,504.0,500.0,1000.0,0
50000,1,2,0,0,0,2,0.0,1500.0,1000.0,0
20000,0,0,0,0,0,0,1212.0,1201.0,500.0,0
80000,0,0,2,0,0,0,5800.0,1000.0,600.0,0
240000,-1,-1,2,0,0,-1,15000.0,0.0,2000.0,0
80000,0,-1,0,0,0,0,12500.0,6500.0,3000.0,0
500000,0,0,0,0,0,0,70010.0,30357.0,30000.0,0
