"variable","bin","woe","points","count","count_distr","neg","pos","posprob","bin_iv","total_iv","breaks","is_special_values"
"basepoints",NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIMIT_BAL","[-Inf,40000)",0.678106430279519,0,3252,0.13580556251566,2079,1173,0.36070110701107,0.0734725869698053,0.169794364284086,"40000",FALSE
"LIMIT_BAL","[40000,140000)",0.197214447087237,0,8364,0.349285893259835,6201,2163,0.258608321377331,0.0143220204853509,0.169794364284086,"140000",FALSE
"LIMIT_BAL","[140000,380000)",-0.334155218270679,0,10391,0.433934686377683,8623,1768,0.170147242806275,0.0439693079417871,0.169794364284086,"380000",FALSE
"LIMIT_BAL","[380000, Inf)",-0.770038669736228,0,1939,0.080973857846822,1712,227,0.117070654976792,0.0380304488871428,0.169794364284086,"Inf",FALSE
"PAY_0","[-Inf,0)",-0.422962734548752,18,6767,0.28259417021632,5698,1069,0.157972513669277,0.0446530233453935,0.879334204026489,"0",FALSE
"PAY_0","[0,1)",-0.66983884895792,29,11742,0.490353294913556,10241,1501,0.127831715210356,0.179910038760011,0.879334204026489,"1",FALSE
"PAY_0","[1,2)",0.605127964700357,-26,2924,0.122108076505471,1918,1006,0.344049247606019,0.0518427486318613,0.879334204026489,"2",FALSE
"PAY_0","[2, Inf)",2.08996961974165,-91,2513,0.104944458364654,758,1755,0.698368483883804,0.602928393289224,0.879334204026489,"Inf",FALSE
"PAY_3","[-Inf,-1)",-0.186733938506905,1,3219,0.134427461789025,2601,618,0.191985088536813,0.00444432560453756,0.409579910363585,"-1",FALSE
"PAY_3","[-1,2)",-0.337446716116485,2,17350,0.724546897185334,14406,2944,0.169682997118156,0.0747952052952417,0.409579910363585,"2",FALSE
"PAY_3","[2, Inf)",1.34585211390493,-9,3377,0.141025641025641,1608,1769,0.523837725792123,0.330340379463806,0.409579910363585,"Inf",FALSE
"PAY_4","[-Inf,-1)",-0.157057369828372,1,3443,0.143781842478911,2766,677,0.196630845193146,0.0033919346311497,0.363288313229161,"-1",FALSE
"PAY_4","[-1,1)",-0.285445988470784,1,17687,0.738620228848242,14554,3133,0.177135749420478,0.0554187631051664,0.363288313229161,"1",FALSE
"PAY_4","[1, Inf)",1.41128618760971,-5,2816,0.117597928672847,1295,1521,0.540127840909091,0.304477615492845,0.363288313229161,"Inf",FALSE
"PAY_6","[-Inf,-1)",-0.109898332979377,0,3869,0.161571870040925,3079,790,0.204187128456966,0.00189183505424978,0.293624345122368,"-1",FALSE
"PAY_6","[-1,2)",-0.241759260265271,1,17615,0.735613463626493,14381,3234,0.183593528242975,0.0401099438963727,0.293624345122368,"2",FALSE
"PAY_6","[2, Inf)",1.37406296015238,-3,2462,0.102814666332582,1155,1307,0.530869212022746,0.251622566171745,0.293624345122368,"Inf",FALSE
"PAY_AMT1","[-Inf,500)",0.572994694588667,0,5332,0.222667668921741,3536,1796,0.336834208552138,0.0841975907553236,0.169240886333184,"500",FALSE
"PAY_AMT1","[500,5000)",-0.0302718782136314,0,12059,0.503591414014867,9437,2622,0.217430964424911,0.000457607124251005,0.169240886333184,"5000",FALSE
"PAY_AMT1","[5000,17500)",-0.483728136163184,0,5298,0.221247807567026,4503,795,0.150056625141563,0.0448773693355832,0.169240886333184,"17500",FALSE
"PAY_AMT1","[17500, Inf)",-1.01679246949746,0,1257,0.0524931094963668,1139,118,0.0938743038981703,0.0397083191180264,0.169240886333184,"Inf",FALSE
"PAY_AMT2","[-Inf,500)",0.492152706404345,0,5473,0.228555917480999,3727,1746,0.319020646811621,0.0626527171649903,0.153380058664222,"500",FALSE
"PAY_AMT2","[500,5000)",-0.00153865948905776,0,12120,0.506138812327737,9425,2695,0.222359735973597,1.19775856338554e-06,0.153380058664222,"5000",FALSE
"PAY_AMT2","[5000,10000)",-0.372483076473744,0,3489,0.145702831370584,2914,575,0.164803668672972,0.0181327502265389,0.153380058664222,"10000",FALSE
"PAY_AMT2","[10000,17500)",-0.61766822722499,0,1555,0.064937776664161,1347,208,0.133762057877814,0.0205954856537928,0.153380058664222,"17500",FALSE
"PAY_AMT2","[17500, Inf)",-1.16848441114919,0,1309,0.0546646621565188,1202,107,0.0817417876241406,0.0519979078603362,0.153380058664222,"Inf",FALSE
"PAY_AMT3","[-Inf,500)",0.423553774730714,0,6270,0.261839138060636,4362,1908,0.304306220095694,0.0523425334671754,0.116783379390077,"500",FALSE
"PAY_AMT3","[500,3000)",0.0248442220426329,0,8874,0.370583813580556,6860,2014,0.226955149876042,0.000230312708507394,0.116783379390077,"3000",FALSE
"PAY_AMT3","[3000,12500)",-0.326424071790252,0,7031,0.293618976029399,5827,1204,0.171241644147347,0.0284571021228451,0.116783379390077,"12500",FALSE
"PAY_AMT3","[12500, Inf)",-0.782841027928284,0,1771,0.0739580723294078,1566,205,0.115753811405985,0.0357534310915493,0.116783379390077,"Inf",FALSE
